unique_id,label,area,perimeter,solidity,extent,mean_intensity,max_intensity,min_intensity,eccentricity,major_axis_length,minor_axis_length,orientation,circularity,intensity_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,cell_height_y,mean_dist_to_5_neighbors,n_chromocenters,mean_chromocenter_area,chromocenter_area_fraction,kmeans_cluster,spectral_cluster
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_1,1,762.0,105.94112549695429,0.963337547408344,0.8141025641025641,119.30839895013123,255.0,12.0,0.7061850120332992,37.446908840746765,26.513435643616493,1.3151324965931126,0.85317018553424,57.8628404259681,1271.9157608695657,0.0417867939447974,0.0282726250634304,0.806814460880593,11.828083989501312,67.5364278167503,6,53.66666666666666,0.4225721784776903,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_2,2,1191.0,126.08326112068522,0.9810543657331136,0.8470839260312945,106.0369437447523,255.0,9.0,0.2546686841209049,39.66356636310674,38.35579378378277,-0.0481519392354729,0.9414705924093209,50.46497795896693,1125.89158716392,0.0397298444165432,0.023207438265845,0.7741296361737053,18.04701931150294,59.97654398526274,16,28.75,0.3862300587741393,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_3,3,1177.0,128.3259018078045,0.9743377483443708,0.7974254742547425,88.41546304163127,206.0,8.0,0.5798869512289822,43.03306647419344,35.05890809692225,-0.3589442433493794,0.8981682048705937,34.96088162971293,937.0941901408452,0.0437364622852205,0.0244268255730838,0.6044095946161177,19.29226847918437,60.76554328240344,10,55.7,0.4732370433305012,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_4,4,697.0,103.84062043356596,0.9694019471488178,0.7576086956521739,145.64705882352942,255.0,18.0,0.8223065054394639,40.011962100509656,22.76859990995956,1.3824828403338585,0.8122843641716612,54.90925311957953,1337.26706231454,0.0475590694029128,0.0308733709891466,0.7694212624880107,9.868005738880916,71.66998216961177,11,28.272727272727277,0.4461979913916786,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_5,5,395.0,80.52691193458118,0.9404761904761904,0.7078853046594982,73.9620253164557,167.0,9.0,0.7726532609652974,29.11227304918981,18.481294071520832,1.537531766651205,0.7654641747885597,29.52271943752304,725.4429708222813,0.069568337236965,0.0410069624237143,0.5715504732955894,7.769620253164557,53.33773933168884,8,21.0,0.4253164556962025,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_6,6,1023.0,121.7401153701776,0.9623706491063028,0.78996138996139,101.58944281524928,252.0,16.0,0.3018425726796722,37.24664944499355,35.509383117792844,1.4664216927516327,0.8673973275598655,45.45417128468328,1022.4716024340772,0.0420871325133933,0.0250898922451378,0.7473579479535079,16.04887585532747,46.88836650256103,7,58.285714285714285,0.3988269794721407,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_7,7,1102.0,124.42640687119284,0.9709251101321584,0.8348484848484848,82.93647912885662,221.0,11.0,0.5617010108497669,41.40181511517912,34.25339019814393,-0.009514646996467,0.8944711522952582,40.55199384325458,826.0753295668551,0.048290994473052,0.0260098442880096,0.7471499736198861,18.22141560798548,48.68978995476575,13,33.38461538461539,0.3938294010889292,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_8,8,888.0,114.08326112068522,0.961038961038961,0.7708333333333334,99.78603603603604,231.0,17.0,0.5293307074760699,36.78677492873248,31.210473111847925,-1.3517560610286,0.8573911085872167,48.0426723191609,1032.2444444444443,0.040822730612054,0.0264777343220392,0.7726142084414424,14.04954954954955,42.460346556672114,8,46.5,0.4189189189189189,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_9,9,416.0,87.14823227814082,0.9327354260089686,0.6797385620915033,79.95673076923077,178.0,12.0,0.8651126249558694,33.71550748158256,16.91094525189543,-1.5629494709416685,0.6883130920228812,32.61139272502749,768.7017543859648,0.056958862378737,0.0398251844162173,0.6300395548854659,7.15625,43.82132903590112,5,35.6,0.4278846153846153,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_10,10,956.0,114.32590180780451,0.9676113360323888,0.7804081632653062,105.64748953974896,255.0,12.0,0.327467046179992,35.92723715020423,33.94630271952834,0.5462238357270226,0.9191332659552454,48.74725830692799,1011.4929424538544,0.0404947633854114,0.0252894998889296,0.7791140895994765,17.85041841004184,66.82434016262876,19,17.526315789473685,0.348326359832636,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_11,11,354.0,76.2842712474619,0.96986301369863,0.7612903225806451,91.82485875706216,203.0,25.0,0.8597557586442931,30.390602624480174,15.520645758874709,-1.5687765211361406,0.7644395050069387,39.99552027326565,1132.061946902655,0.0303344018299678,0.0406609107731274,0.639427865300426,6.8474576271186445,57.67351851809981,6,23.166666666666668,0.3926553672316384,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_12,12,645.0,94.28427124746192,0.9832317073170732,0.885989010989011,120.93798449612405,243.0,18.0,0.4210498260788688,30.36282166335685,27.540218148262927,0.3836032213121477,0.911782140907056,43.837146107878425,1182.5235008103728,0.0396044307745258,0.0307514845397249,0.6788290625505782,13.502325581395349,56.27712993621127,10,31.1,0.4821705426356589,3,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_13,13,1627.0,153.0538238691624,0.9719235364396654,0.7822115384615385,92.15918869084204,255.0,0.0,0.667687453517764,52.954515340209895,39.42155012377556,1.259184071328216,0.8727885660500223,48.42684222005085,925.1305170239592,0.0440492162476051,0.0215623916488796,0.801242399716035,19.27412415488629,68.04939556013933,20,25.45,0.3128457283343577,0,0
C:\Users\shiva\OneDrive\Desktop\MASK-R-CNN-Vision-Biology-Lab\image and seg data\C1-C30000.png_cell_14,14,1286.0,140.08326112068522,0.9720332577475436,0.7691387559808612,110.33670295489893,255.0,17.0,0.4813262898649318,44.283234690010495,38.81609299697965,-1.1400257911339715,0.823527954087988,55.60078492528988,1127.511217948718,0.045976937879098,0.0224859217955164,0.8145839793230669,16.68973561430793,62.03518043809093,16,30.875,0.3841368584758942,3,0
