label,area,perimeter,solidity,extent,mean_intensity,max_intensity,min_intensity,eccentricity,major_axis_length,minor_axis_length,orientation,circularity,intensity_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation
1,762.0,105.94112549695427,0.9633375474083439,0.8141025641025641,119.30839895013123,255.0,12.0,0.7061850120332992,37.446908840746765,26.513435643616493,1.3151324965931126,0.85317018553424,57.8628404259681,1271.9157608695655,0.04178679394479747,0.028272625063430454,0.806814460880593
2,1191.0,126.08326112068522,0.9810543657331137,0.8470839260312945,106.0369437447523,255.0,9.0,0.2546686841209049,39.66356636310674,38.35579378378277,-0.04815193923547293,0.9414705924093209,50.464977958966934,1125.8915871639201,0.039729844416543245,0.02320743826584502,0.7741296361737053
3,1177.0,128.3259018078045,0.9743377483443708,0.7974254742547425,88.41546304163127,206.0,8.0,0.5798869512289822,43.03306647419344,35.05890809692225,-0.3589442433493794,0.8981682048705937,34.96088162971293,937.0941901408452,0.04373646228522058,0.02442682557308382,0.6044095946161177
4,697.0,103.84062043356595,0.9694019471488178,0.7576086956521739,145.64705882352942,255.0,18.0,0.8223065054394639,40.011962100509656,22.768599909959562,1.3824828403338583,0.8122843641716612,54.90925311957953,1337.26706231454,0.04755906940291289,0.030873370989146606,0.7694212624880107
5,395.0,80.52691193458118,0.9404761904761905,0.7078853046594982,73.9620253164557,167.0,9.0,0.7726532609652974,29.112273049189806,18.481294071520832,1.537531766651205,0.7654641747885597,29.52271943752304,725.4429708222813,0.06956833723696501,0.04100696242371434,0.5715504732955894
6,1023.0,121.7401153701776,0.9623706491063029,0.78996138996139,101.58944281524927,252.0,16.0,0.3018425726796722,37.24664944499355,35.509383117792844,1.4664216927516327,0.8673973275598655,45.45417128468328,1022.4716024340771,0.04208713251339334,0.02508989224513789,0.7473579479535079
7,1102.0,124.42640687119285,0.9709251101321585,0.8348484848484848,82.93647912885662,221.0,11.0,0.5617010108497669,41.40181511517912,34.25339019814393,-0.009514646996467046,0.8944711522952582,40.55199384325458,826.0753295668551,0.04829099447305206,0.02600984428800967,0.7471499736198861
8,888.0,114.08326112068522,0.961038961038961,0.7708333333333334,99.78603603603604,231.0,17.0,0.5293307074760699,36.786774928732484,31.210473111847925,-1.3517560610286,0.8573911085872167,48.0426723191609,1032.2444444444445,0.040822730612054006,0.02647773432203923,0.7726142084414424
9,416.0,87.14823227814082,0.9327354260089686,0.6797385620915033,79.95673076923077,178.0,12.0,0.8651126249558694,33.71550748158256,16.91094525189543,-1.5629494709416685,0.6883130920228812,32.61139272502749,768.7017543859648,0.05695886237873701,0.0398251844162173,0.6300395548854659
10,956.0,114.32590180780451,0.9676113360323887,0.7804081632653062,105.64748953974896,255.0,12.0,0.32746704617999206,35.92723715020423,33.94630271952834,0.5462238357270226,0.9191332659552454,48.74725830692799,1011.4929424538543,0.040494763385411456,0.025289499888929673,0.7791140895994765
11,354.0,76.2842712474619,0.9698630136986301,0.7612903225806451,91.82485875706215,203.0,25.0,0.8597557586442931,30.390602624480174,15.520645758874707,-1.5687765211361406,0.7644395050069387,39.99552027326565,1132.061946902655,0.03033440182996785,0.040660910773127494,0.639427865300426
12,645.0,94.28427124746192,0.9832317073170732,0.885989010989011,120.93798449612403,243.0,18.0,0.42104982607886887,30.362821663356854,27.540218148262927,0.3836032213121477,0.9117821409070559,43.837146107878425,1182.5235008103728,0.039604430774525815,0.030751484539724917,0.6788290625505782
13,1627.0,153.0538238691624,0.9719235364396654,0.7822115384615385,92.15918869084204,255.0,0.0,0.667687453517764,52.954515340209895,39.42155012377556,1.259184071328216,0.8727885660500223,48.426842220050844,925.1305170239593,0.04404921624760519,0.021562391648879686,0.801242399716035
14,1286.0,140.08326112068522,0.9720332577475435,0.7691387559808612,110.33670295489891,255.0,17.0,0.48132628986493187,44.283234690010495,38.81609299697965,-1.1400257911339717,0.823527954087988,55.60078492528988,1127.511217948718,0.04597693787909807,0.022485921795516475,0.8145839793230669
15,339.0,70.87005768508881,0.9769452449567724,0.7847222222222222,99.42772861356931,206.0,22.0,0.7872361486602811,27.015296148062685,16.659026699493637,1.5465182736376324,0.8481721139622008,37.00988384891826,994.3622291021672,0.036235148580196753,0.0414213255735593,0.6365481117303476
16,635.0,93.59797974644667,0.9709480122324159,0.7839506172839507,133.51653543307086,255.0,35.0,0.34971079467456695,29.675242057154808,27.80147917960017,1.295042767955992,0.9108579214027168,46.40324072951695,1443.467105263158,0.03813871010045059,0.030416516462017974,0.6513778737469935
17,741.0,103.01219330881975,0.9698952879581152,0.7841269841269841,158.1889338731444,255.0,35.0,0.6655466107368939,35.84996279535443,26.756845164071688,1.472647273543638,0.877507432617302,56.165957450454464,1331.9033613445376,0.05638255929370534,0.04382209480997763,0.7809797685408258
18,576.0,96.18376618407356,0.9795918367346939,0.715527950310559,92.39930555555556,184.0,20.0,0.7785763026653492,35.2239703513918,22.104800866016568,1.1787726292048124,0.7823999080163668,30.965318854162785,964.5443037974684,0.03509293316345083,0.033830536950939794,0.4914177136642316
